date,symptom,n
2019-01-16,s41,0
2019-01-16,s42,88
2019-01-16,s43,4
2019-01-16,s44,0
2019-01-16,s45,8
2019-01-16,s46,0
2019-01-16,s47,0
2019-01-16,s48,0
2019-01-16,s49,301
2019-01-16,s50,0
2019-01-16,s51,0
2019-01-16,s52,0
2019-01-16,s53,0
2019-01-16,s54,0
2019-01-16,s55,259
2019-01-16,s56,414
2019-01-17,s01,0
2019-01-17,s02,0
2019-01-17,s03,0
2019-01-17,s04,0
2019-01-17,s05,28
2019-01-17,s06,938
2019-01-17,s07,13
2019-01-17,s08,0
2019-01-17,s10,1
2019-01-17,s11,964
2019-01-17,s12,4
2019-01-17,s13,1
2019-01-17,s14,148
2019-01-17,s15,1
2019-01-17,s16,0
2019-01-17,s17,0
2019-01-17,s19,0
2019-01-17,s20,12
2019-01-17,s21,4649
2019-01-17,s22,369
2019-01-17,s23,357
2019-01-17,s24,274
2019-01-17,s25,0
2019-01-17,s26,0
2019-01-17,s27,0
2019-01-17,s28,344
2019-01-17,s29,964
2019-01-17,s30,564
2019-01-17,s31,0
2019-01-17,s32,0
2019-01-17,s33,0
2019-01-17,s34,0
2019-01-17,s35,0
2019-01-17,s36,133
2019-01-17,s37,33
2019-01-17,s38,0
2019-01-17,s39,0
2019-01-17,s40,0
2019-01-17,s41,0
2019-01-17,s42,61
2019-01-17,s43,5
2019-01-17,s44,0
2019-01-17,s45,7
2019-01-17,s46,1
2019-01-17,s47,0
2019-01-17,s48,0
2019-01-17,s49,226
2019-01-17,s50,0
2019-01-17,s51,0
2019-01-17,s52,0
2019-01-17,s53,0
2019-01-17,s54,0
2019-01-17,s55,227
2019-01-17,s56,360
2019-01-18,s01,0
2019-01-18,s02,0
2019-01-18,s03,0
2019-01-18,s04,0
2019-01-18,s05,30
2019-01-18,s06,914
2019-01-18,s07,8
2019-01-18,s08,0
2019-01-18,s10,0
2019-01-18,s11,865
2019-01-18,s12,6
2019-01-18,s13,0
2019-01-18,s14,182
2019-01-18,s15,2
2019-01-18,s16,0
2019-01-18,s17,1
2019-01-18,s19,0
2019-01-18,s20,6
2019-01-18,s21,4217
2019-01-18,s22,300
2019-01-18,s23,291
2019-01-18,s24,268
2019-01-18,s25,0
2019-01-18,s26,0
2019-01-18,s27,0
2019-01-18,s28,320
2019-01-18,s29,867
2019-01-18,s30,524
2019-01-18,s31,0
2019-01-18,s32,2
2019-01-18,s33,0
2019-01-18,s34,0
2019-01-18,s35,1
2019-01-18,s36,102
2019-01-18,s37,38
2019-01-18,s38,1
2019-01-18,s39,1
2019-01-18,s40,0
2019-01-18,s41,0
2019-01-18,s42,59
2019-01-18,s43,0
2019-01-18,s44,2
2019-01-18,s45,3
2019-01-18,s46,0
2019-01-18,s47,0
2019-01-18,s48,0
2019-01-18,s49,193
2019-01-18,s50,0
2019-01-18,s51,0
2019-01-18,s52,0
2019-01-18,s53,0
2019-01-18,s54,0
2019-01-18,s55,258
2019-01-18,s56,357
2019-01-19,s01,0
2019-01-19,s02,0
2019-01-19,s03,0
2019-01-19,s04,0
2019-01-19,s05,28
2019-01-19,s06,805
2019-01-19,s07,4
2019-01-19,s08,1
2019-01-19,s10,1
2019-01-19,s11,749
2019-01-19,s12,6
2019-01-19,s13,0
2019-01-19,s14,138
2019-01-19,s15,1
2019-01-19,s16,0
2019-01-19,s17,0
2019-01-19,s19,0
2019-01-19,s20,7
2019-01-19,s21,3925
2019-01-19,s22,281
2019-01-19,s23,257
2019-01-19,s24,221
2019-01-19,s25,0
2019-01-19,s26,0
2019-01-19,s27,0
2019-01-19,s28,242
2019-01-19,s29,746
2019-01-19,s30,481
2019-01-19,s31,0
2019-01-19,s32,0
2019-01-19,s33,0
2019-01-19,s34,0
2019-01-19,s35,0
2019-01-19,s36,83
2019-01-19,s37,18
2019-01-19,s38,0
2019-01-19,s39,3
2019-01-19,s40,0
2019-01-19,s41,0
2019-01-19,s42,38
2019-01-19,s43,4
2019-01-19,s44,0
2019-01-19,s45,1
2019-01-19,s46,0
2019-01-19,s47,0
2019-01-19,s48,0
2019-01-19,s49,174
2019-01-19,s50,3
2019-01-19,s51,0
2019-01-19,s52,0
2019-01-19,s53,0
2019-01-19,s54,0
2019-01-19,s55,250
2019-01-19,s56,340
2019-01-20,s01,0
2019-01-20,s02,0
2019-01-20,s03,0
2019-01-20,s04,0
2019-01-20,s05,35
2019-01-20,s06,879
2019-01-20,s07,4
2019-01-20,s08,0
2019-01-20,s10,2
2019-01-20,s11,829
2019-01-20,s12,7
2019-01-20,s13,0
2019-01-20,s14,169
2019-01-20,s15,3
2019-01-20,s16,0
2019-01-20,s17,1
2019-01-20,s19,0
2019-01-20,s20,4
2019-01-20,s21,4401
2019-01-20,s22,335
2019-01-20,s23,334
2019-01-20,s24,257
2019-01-20,s25,0
2019-01-20,s26,0
2019-01-20,s27,0
2019-01-20,s28,291
2019-01-20,s29,828
2019-01-20,s30,514
2019-01-20,s31,0
2019-01-20,s32,1
2019-01-20,s33,0
2019-01-20,s34,0
2019-01-20,s35,0
2019-01-20,s36,107
2019-01-20,s37,27
2019-01-20,s38,0
2019-01-20,s39,1
2019-01-20,s40,0
2019-01-20,s41,0
2019-01-20,s42,71
2019-01-20,s43,3
2019-01-20,s44,0
2019-01-20,s45,2
2019-01-20,s46,0
2019-01-20,s47,0
2019-01-20,s48,0
2019-01-20,s49,192
2019-01-20,s50,0
2019-01-20,s51,0
2019-01-20,s52,0
2019-01-20,s53,0
2019-01-20,s54,0
2019-01-20,s55,265
2019-01-20,s56,330
2019-01-21,s01,0
2019-01-21,s02,0
2019-01-21,s03,0
2019-01-21,s04,0
2019-01-21,s05,43
2019-01-21,s06,974
2019-01-21,s07,12
2019-01-21,s08,0
2019-01-21,s10,0
2019-01-21,s11,951
2019-01-21,s12,8
2019-01-21,s13,0
2019-01-21,s14,221
2019-01-21,s15,2
2019-01-21,s16,1
2019-01-21,s17,4
2019-01-21,s19,1
2019-01-21,s20,11
2019-01-21,s21,4892
2019-01-21,s22,387
2019-01-21,s23,435
2019-01-21,s24,262
2019-01-21,s25,0
2019-01-21,s26,0
2019-01-21,s27,0
2019-01-21,s28,376
2019-01-21,s29,950
2019-01-21,s30,584
2019-01-21,s31,0
2019-01-21,s32,1
2019-01-21,s33,1
2019-01-21,s34,0
2019-01-21,s35,0
2019-01-21,s36,126
2019-01-21,s37,28
2019-01-21,s38,1
2019-01-21,s39,3
2019-01-21,s40,0
2019-01-21,s41,0
2019-01-21,s42,41
2019-01-21,s43,7
2019-01-21,s44,0
2019-01-21,s45,9
2019-01-21,s46,0
2019-01-21,s47,0
2019-01-21,s48,0
2019-01-21,s49,221
2019-01-21,s50,0
2019-01-21,s51,0
2019-01-21,s52,0
2019-01-21,s53,0
2019-01-21,s54,0
2019-01-21,s55,283
2019-01-21,s56,406
2019-01-22,s01,0
2019-01-22,s02,0
2019-01-22,s03,2
2019-01-22,s04,0
2019-01-22,s05,46
2019-01-22,s06,941
2019-01-22,s07,10
2019-01-22,s08,0
2019-01-22,s10,1
2019-01-22,s11,1011
2019-01-22,s12,5
2019-01-22,s13,0
2019-01-22,s14,194
2019-01-22,s15,1
2019-01-22,s16,2
2019-01-22,s17,3
2019-01-22,s19,0
2019-01-22,s20,6
2019-01-22,s21,4754
2019-01-22,s22,408
2019-01-22,s23,362
2019-01-22,s24,289
2019-01-22,s25,0
2019-01-22,s26,0
2019-01-22,s27,0
2019-01-22,s28,365
